
1.1-📺央视,#genre#
CCTV1综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8#http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8?#http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv#http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://61.138.128.226:19901/tsfile/live/0001_1.m3u8#http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111#https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8#http://api2.52tb.xyz/info?id=2&token=20230326xflvzc#http://202.168.187.208:9089/tsfile/live/1003_1.m3u8#https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?#http://58.19.38.162:9901/tsfile/live/0001_1.m3u8#http://39.164.180.36:19901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=0&authid=0#http://8.138.7.223/tv/ptbtv.php?id=27#http://58.57.40.22:9901/tsfile/live/0001_1.m3u8#http://112.123.206.32:808/hls/1/index.m3u8#http://play.kankanlive.com/live/1661761962676984.m3u8#http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
CCTV2财经,http://116.128.243.121:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0#http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8#http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.223.157.33:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8#http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv#http://116.9.204.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv2_1_ud.m3u8#http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111#https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8#http://api2.52tb.xyz/info?id=3&token=20230326xflvzc#http://112.123.243.37:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0#http://58.19.38.162:9901/tsfile/live/0002_1.m3u8#http://58.57.40.22:9901/tsfile/live/1001_1.m3u8#http://112.123.206.32:808/hls/2/index.m3u8#http://60.29.124.66:6080/hls/13/index.m3u8#https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8#http://110.53.52.63:8888/newlive/live/hls/3/live.m3u8#http://183.11.239.36:808/hls/20/index.m3u8#http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV3综艺,http://183.237.95.108:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0#http://124.116.183.146:9901/tsfile/live/0003_1.m3u8#http://183.223.157.33:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://218.89.240.144:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://60.223.224.176:8888/newlive/live/hls/4/live.m3u8#http://ak6668768.zicp.io:8802/live1003.m3u8#http://124.128.73.58:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.53.52.63:8888/newlive/live/hls/4/live.m3u8#https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv3_1/index.m3u8?b=200-1200#http://110.7.131.146:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.7.131.79:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.138.128.226:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv3&ChannelID=cctv3&videoTVChannel=cctv3&P2PChannelID=pd://cctv_p2p_cctv3#http://qjrhc.jydjd.top:2911/udp/224.1.100.64:11111#https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8#http://api2.52tb.xyz/info?id=4&token=20230326xflvzc#http://58.57.40.22:9901/tsfile/live/1002_1.m3u8#http://58.17.48.228:808/hls/3/index.m3u8#http://gmxw.7766.org:808/hls/91/index.m3u8#https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV4中文国际,http://113.57.111.4:1111/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0#http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8#http://api2.52tb.xyz/info?id=5&token=20230120rdbtgv#http://36.32.174.67:60080/newlive/live/hls/4/live.m3u8#http://112.99.193.34:9901/tsfile/live/1036_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://player.cntv.cn/standard/live_HLSDRM20180524.swf?v=180.171.5.8.9.6.3.9&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope&tai=cctv1&VideoName=cctv1&channelID=cctveurope#https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctveurope&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope#http://61.138.128.226:19901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0#http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0#http://ldcctvcpudtxy.liveplay.myqcloud.com/ldcctvcpud/udrmldcctv5_1_ud.m3u8#https://piccpndali.v.myalicdn.com/audio/cctv4_2.m3u8#http://qjrhc.jydjd.top:2911/udp/224.1.100.104:11111#http://api2.52tb.xyz/info?id=5&token=20230326xflvzc#http://123.159.128.169:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0#https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8#http://58.57.40.22:9901/tsfile/live/1003_1.m3u8#http://60.29.124.66:6080/hls/15/index.m3u8#http://120.76.248.139/live/bfgd/4200000063.m3u8#http://110.53.52.63:8888/newlive/live/hls/5/live.m3u8#https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8#http://183.11.239.36:808/hls/77/index.m3u8
CCTV5体育,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://42.225.117.174:11199/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://218.15.183.23:9901/tsfile/live/23022_1.m3u8#http://120.198.101.106:9901/tsfile/live/1030_1.m3u8#http://219.159.91.10:9901/tsfile/live/0005_1.m3u8#http://221.226.51.220:50081/newlive/live/hls/5/live.m3u8#http://222.169.85.8:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.223.157.33:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://ak6668768.zicp.io:8804/live1005.m3u8#http://223.241.247.214:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://api3.52tb.xyz/info?id=7&token=20230402fxrjwi#http://124.128.73.58:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://112.99.193.34:9901/tsfile/live/1022_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://116.9.204.242:9901/tsfile/live/0005_1.m3u8#http://123.129.70.178:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.7.131.40:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.138.128.226:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111#https://piccpndali.v.myalicdn.com/audio/cctv5_2.m3u8#http://api2.52tb.xyz/info?id=6&token=20230326xflvzc#http://60.29.124.66:6080/hls/16/index.m3u8#http://36.136.38.87:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://202.168.187.208:9089/tsfile/live/0005_1.m3u8#http://58.57.40.22:9901/tsfile/live/1004_1.m3u8#http://58.17.48.228:808/hls/5/index.m3u8#http://gmxw.7766.org:808/hls/93/index.m3u8#https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV5+体育赛事,http://221.2.148.205:8154/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0#http://111.14.181.15:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.138.128.226:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0#http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://qjrhc.jydjd.top:2911/udp/224.1.100.25:11111#https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8#http://api2.52tb.xyz/info?id=7&token=20230326xflvzc#http://39.164.180.36:19901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0#http://ylt.7766.org:333/hls/21/index.m3u8#http://221.226.4.10:9901/tsfile/live/0005_1.m3u8#http://113.15.109.216:59901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://58.57.40.22:9901/tsfile/live/1005_1.m3u8#http://120.76.248.139/live/bfgd/4200000246.m3u8#http://110.53.52.63:8888/newlive/live/hls/7/live.m3u8#http://222.169.85.8:9901/tsfile/live/0116_1.m3u8#https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV6电影,http://183.237.95.108:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0#http://api2.52tb.xyz/info?id=59&token=20230218zdxlqr#http://221.226.51.220:50081/newlive/live/hls/6/live.m3u8#http://58.221.214.82:9901/tsfile/live/0006_1.m3u8#http://zzssw01.55555.io:9901/tsfile/live/0006_1.m3u8#http://222.169.85.8:9901/tsfile/live/0006_1.m3u8?key=txiptv#http://221.2.148.205:8154/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://124.128.73.58:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://ak6668768.zicp.io:8805/live1006.m3u8#http://110.53.52.63:8888/newlive/live/hls/8/live.m3u8#http://61.138.128.226:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://116.128.242.83:9901/tsfile/live/0007_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://qjrhc.jydjd.top:2911/udp/224.1.100.84:11111#https://piccpndali.v.myalicdn.com/audio/cctv6_2.m3u8#http://api2.52tb.xyz/info?id=8&token=20230326xflvzc#http://112.123.243.37:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0#http://58.57.40.22:9901/tsfile/live/1006_1.m3u8#http://60.29.124.66:6080/hls/17/index.m3u8#http://58.17.48.228:808/hls/6/index.m3u8#https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8#http://183.11.239.36:808/hls/94/index.m3u8#http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV7国防军事,http://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF#https://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF#http://42.225.117.174:11199/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#http://124.128.73.58:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8#http://116.9.204.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.138.128.226:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://116.128.242.83:9901/tsfile/live/0008_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://qjrhc.jydjd.top:2911/udp/224.1.100.27:11111#https://piccpndali.v.myalicdn.com/audio/cctv7_2.m3u8#http://api2.52tb.xyz/info?id=9&token=20230326xflvzc#http://8.138.7.223/tv/cctv7.m3u8#http://58.57.40.22:9901/tsfile/live/1007_1.m3u8#https://api.olelive.com/dis/live/CCTV7HD/hls.m3u8#http://60.29.124.66:6080/hls/18/index.m3u8
CCTV8电视剧,http://221.226.4.10:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://113.57.111.4:1111/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.237.95.108:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0#http://api2.52tb.xyz/info?id=10&token=20230218zdxlqr#http://124.116.183.146:9901/tsfile/live/0008_1.m3u8#http://ak6668768.zicp.io:8807/live1008.m3u8#http://124.128.73.58:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv8_1_hd.m3u8#https://ldocctvwbcdbd.a.bdydns.com/ldocctvwbcd/cdrmldcctv8_1/index.m3u8?BR=hd#http://61.162.52.6:8088/newlive/live/hls/9/live.m3u8#http://120.197.43.179:9901/tsfile/live/0009_1.m3u8#http://61.138.128.226:19901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0#https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv8&ChannelID=cctv8&videoTVChannel=cctv8&P2PChannelID=pd://cctv_p2p_cctv8#http://qjrhc.jydjd.top:2911/udp/224.1.100.86:11111#https://piccpndali.v.myalicdn.com/audio/cctv8_2.m3u8#http://api2.52tb.xyz/info?id=10&token=20230326xflvzc#http://112.123.243.37:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0#http://58.57.40.22:9901/tsfile/live/1008_1.m3u8#http://58.17.48.228:808/hls/8/index.m3u8#http://60.29.124.66:6080/hls/19/index.m3u8#http://gmxw.7766.org:808/hls/96/index.m3u8#https://api.olelive.com/dis/live/CCTV8HD/hls.m3u8#http://1b6467f415.iok.la:9931/tsfile/live/1028_1.m3u8
CCTV9纪录,http://42.225.117.174:11199/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0#http://113.57.111.4:1111/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0#http://zzssw01.55555.io:9901/tsfile/live/0009_1.m3u8#http://api2.52tb.xyz/info?id=11&token=20230218zdxlqr#http://222.169.85.8:9901/tsfile/live/0009_1.m3u8?key=txiptv#http://124.116.183.146:9901/tsfile/live/0009_1.m3u8?key=tvbox6_com&playlive=1&authid=0#http://116.9.204.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0#http://120.197.43.179:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0#http://player.cntv.cn/standard/live_HLSDRM20180606.swf?v=180.171.5.8.9.6.3.9&vdnSID=&vdnIP=&vdnCountryCode=&vdnProvinceCode=&vdnCityCode=&vdnISPCode=&tai=cctvjilu&ChannelID=cctvjilu&videoTVChannel=cctvjilu&P2PChannelID=pd://cctv_p2p_cctvjilu#http://t.live.cntv.cn/m3u8/cctv400.m3u8#http://61.138.128.226:19901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0009_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0#http://qjrhc.jydjd.top:2911/udp/224.1.100.29:11111#https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8#http://api2.52tb.xyz/info?id=11&token=20230326xflvzc#http://112.123.243.37:50085/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.160.249:9901/tsfile/live/0009_1.m3u8#http://58.57.40.22:9901/tsfile/live/1009_1.m3u8#http://58.17.48.228:808/hls/9/index.m3u8#http://60.29.124.66:6080/hls/20/index.m3u8#https://api.olelive.com/dis/live/CCTV9HD/hls.m3u8#http://110.53.52.63:8888/newlive/live/hls/11/live.m3u8
