
1-📺央视,#genre#
CCTV1综合,http://goo.bkpcp.top/mg/cctv1
CCTV1综合,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV1综合,http://wouu.net:9977/udp/239.93.0.184:5140
CCTV1综合,http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV1综合,http://lt.hxtre.com:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV1综合,http://lt.hxtre.com:35455/itv/1000000001000018602.m3u8?cdn=ystenlive
CCTV1综合,http://lt.hxtre.com:35455/itv/1000000001000021973.m3u8?cdn=ystenlive
CCTV2财经,http://goo.bkpcp.top/mg/cctv2
CCTV2财经,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV2财经,http://drive.mxmy.net:8888/udp/239.3.1.60:8084
CCTV2财经,http://lt.hxtre.com:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV2财经,http://lt.hxtre.com:35455/itv/1000000001000012442.m3u8?cdn=ystenlive
CCTV2财经,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV3综艺,http://goo.bkpcp.top/mg/cctv3
CCTV3综艺,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV3综艺,http://drive.mxmy.net:8888/udp/239.3.1.172:8001
CCTV3综艺,http://lt.hxtre.com:35455/itv/1000000001000011218.m3u8?cdn=ystenlive
CCTV4中文国际,http://goo.bkpcp.top/mg/cctv4
CCTV4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV4中文国际,http://drive.mxmy.net:8888/udp/239.3.1.105:8092
CCTV6电影,http://goo.bkpcp.top/mg/cctv6
CCTV6电影,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV6电影,http://drive.mxmy.net:8888/udp/239.3.1.174:8001
CCTV6电影,http://lt.hxtre.com:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV6电影,http://lt.hxtre.com:35455/itv/5000000010000018433.m3u8?cdn=bestzb
CCTV6电影,http://lt.hxtre.com:35455/itv/1000000001000016466.m3u8?cdn=ystenlive
CCTV6电影,http://113.140.86.162:8009/hls/6/index.m3u8
CCTV7国防军事,http://goo.bkpcp.top/mg/cctv7
CCTV7国防军事,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV7国防军事,http://drive.mxmy.net:8888/udp/239.3.1.61:8104
CCTV7国防军事,http://lt.hxtre.com:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV7国防军事,http://lt.hxtre.com:35455/itv/5000000005000026715.m3u8?cdn=bestzb
CCTV7国防军事,http://lt.hxtre.com:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
